NA20801	NA20801		SAME125365	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20806	NA20806		SAME125362	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20813	NA20813		SAME125189	Italian	EUR	female	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20818	NA20818		SAME125184	Italian	EUR	female	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release																																																							
NA20832	NA20832		SAME122894	Italian	EUR	female	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
NA20527	NA20527		SAME124013	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20534	NA20534		SAME124165	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20539	NA20539		SAME124164	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20541	NA20541		SAME125147	Italian	EUR	female	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20589	NA20589		SAME122865	Italian	EUR	female	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
NA20755	NA20755		SAME124174	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release																																																							
NA20762	NA20762		SAME124744	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
NA20767	NA20767		SAME124369	Italian	EUR	male	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
NA20774	NA20774		SAME124572	Italian	EUR	female	TSI	Toscani	EUR	European Ancestry	TSI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis																																																							
HG00844	HG00844		SAME123952	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG00851	HG00851		SAME123756	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG00983	HG00983		SAME123769	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes phase 3 release																																																							
HGDP01161	HGDP01161			Italian	EUR	male		Tuscan		Europe (HGDP)	TuscanHGDP	Human Genome Diversity Project																																																							
HGDP01166	HGDP01166			Italian	EUR	male		Tuscan		Europe (HGDP)	TuscanHGDP	Human Genome Diversity Project																																																							
HGDP01173	HGDP01173			Italian	EUR	male		Bergamo Italian		Europe (HGDP)	BergamoItalianHGDP	Human Genome Diversity Project																																																							
HG01028	HG01028		SAME123524	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG00866	HG00866		SAME123549	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes phase 3 release																																																							
HGDP01177	HGDP01177			Italian	EUR	female		Bergamo Italian		Europe (HGDP)	BergamoItalianHGDP	Human Genome Diversity Project																																																							
S_Bergamo-1	HGDP01153		SAMEA3449876	Italian	EUR	male		Bergamo		West Eurasia (SGDP)	BergamoSGDP	Simons Genome Diversity Project	238.0	C	LP6005441-DNA_A06	HGDP01153	S_Bergamo-1	Genomic_from_cell_lines	X	XY	Bergamo	WestEurasia	Italy(Bergamo)	?	..	..	68.6	2,657,453,944	2,321,398,214	2,140,671,417	1,157,895,928	0.001018956	0.000903427	0.000856607	0.000807	H3:3	I2a2b	0.000853331	4.51e-05	0.000933	7.02e-05	6.83e-05	7.22e-05	0.000890911	0.000748063	0.000713852	0.000676402	..	..	..	..	0.92	0.92	0.993	0.001	0.001	0.001										
HG01794	HG01794		SAME124218	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01799	HG01799		SAME124227	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01802	HG01802		SAME124307	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01807	HG01807		SAME124303	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
S_Bergamo-2	HGDP01172	S_Bergamo-2	SAMEA3302855	Italian	EUR	female		Bergamo		West Eurasia (SGDP)	BergamoSGDP	Simons Genome Diversity Project	239.0	C	LP6005441-DNA_B06	HGDP01172	S_Bergamo-2	Genomic_from_cell_lines	X	XX	Bergamo	WestEurasia	Italy(Bergamo)	?	46	10	80.02	2,657,464,259	2,318,228,436	2,149,704,932	1,211,887,242	0.001023189	0.00090571	0.000858259	0.000808	HV0:0	..	0.000871026	0.000454423	0.00094	0.000534	0.000527	0.000541	0.000914489	0.000770713	0.00073751	0.000708073	0.02	0.001	0.002	0.0153	0.91	0.92	0.993	0.001	0.001	0.001	C	Bergamo	WestEurasia	Italy(Bergamo)	Howard Cann	F	46.0	10.0	62.0	0.00072
HG01796	HG01796		SAME124220	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01804	HG01804		SAME124302	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01809	HG01809		SAME124299	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01811	HG01811		SAME125380	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01816	HG01816		SAME124521	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02355	HG02355		SAME1840269	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02367	HG02367		SAME1840113	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02374	HG02374		SAME1840247	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02379	HG02379		SAME1840217	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02184	HG02184		SAME123216	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02189	HG02189		SAME125040	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes phase 3 release																																																							
HG02381	HG02381		SAME1840033	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes phase 3 release																																																							
HG02181	HG02181		SAME123206	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02386	HG02386		SAME1840001	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02186	HG02186		SAME125039	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02398	HG02398		SAME1839845	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02401	HG02401		SAME1839415	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02406	HG02406		SAME1839394	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02153	HG02153		SAME124791	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02155	HG02155		SAME124795	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02165	HG02165		SAME124208	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02179	HG02179		SAME124415	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02364	HG02364		SAME1840125	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG02371	HG02371		SAME1840180	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01029	HG01029		SAME123523	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG01031	HG01031		SAME123728	Dai	EAS	male	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG00759	HG00759		SAME125020	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG00766	HG00766		SAME124458	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
HG00867	HG00867		SAME123550	Dai	EAS	female	CDX	Dai Chinese	EAS	East Asian Ancestry	CDX	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release																																																							
